cidade_residencial;bairro_residencial;cidade_trabalho;bairro_trabalho;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Bela Vista;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
Diadema;Butantã;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Lapa;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Vila Prudente;São Paulo;Higienópolis;;;;;
Ferreira;Lapa;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Tatuapé;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Tucuruvi;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Bela Vista;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Limão;São Paulo;Higienópolis;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;República;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Limão;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Sé;;;;;
Rezende de Melo;Tucuruvi;São Paulo;Campo Limpo;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;República;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Sé;São Paulo;Consolação;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Santana;;;;;
São Paulo;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
Ferreira;Higienópolis;São Paulo;Limão;;;;;
São Paulo;Tucuruvi;São Paulo;Sé;;;;;
Pinto;Limão;São Paulo;Higienópolis;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Tucuruvi;;;;;
São Paulo;Tucuruvi;São Paulo;Tucuruvi;;;;;
São Paulo;República;São Paulo;Lapa;;;;;
São Paulo;Butantã;São Paulo;Sé;;;;;
São Paulo;Penha;São Paulo;Penha;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Consolação;;;;;
Itapevi;Casa Verde;São Paulo;República;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Consolação;;;;;
São Paulo;Jabaquara;São Paulo;Tucuruvi;;;;;
São Paulo;Higienópolis;São Paulo;Itaquera;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Itaquera;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Santo Amaro;São Paulo;República;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Campo Limpo;;;;;
São Paulo;Sé;São Paulo;Itaquera;;;;;
São Paulo;Santo Amaro;São Paulo;República;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Higienópolis;São Paulo;Santana;;;;;
São Paulo;República;São Paulo;Casa Verde;;;;;
Barbosa;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
Costela;Butantã;São Paulo;Sé;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
São Paulo;Penha;São Paulo;Higienópolis;;;;;
São Paulo;Perdizes;São Paulo;Ipiranga;;;;;
São Paulo;Itaquera;São Paulo;Limão;;;;;
São Paulo;Lapa;São Paulo;Higienópolis;;;;;
São Caetano;Ipiranga;São Paulo;Tucuruvi;;;;;
São Bernardo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Vila Prudente;São Paulo;Higienópolis;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
São Paulo;Casa Verde;São Paulo;Bela Vista;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Consolação;;;;;
Rio Grande da Serra;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Bela Vista;;;;;
São Paulo;Ipiranga;São Paulo;Vila Prudente;;;;;
São Paulo;Limão;São Paulo;Vila Prudente;;;;;
São Paulo;Itaquera;São Paulo;Penha;;;;;
São Paulo;Ipiranga;São Paulo;Sé;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Bela Vista;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Casa Verde;;;;;
São Paulo;Penha;São Paulo;República;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
Itapevi;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Bela Vista;São Paulo;Bela Vista;;;;;
São Paulo;Consolação;São Paulo;Consolação;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Penha;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Jabaquara;;;;;
São Paulo;Consolação;São Paulo;Santo Amaro;;;;;
Fernandes;Penha;São Paulo;Vila Prudente;;;;;
São Paulo;Itaquera;São Paulo;Penha;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;Sé;;;;;
São Paulo;Casa Verde;São Paulo;Higienópolis;;;;;
São Paulo;Vila Prudente;São Paulo;Santana;;;;;
São Paulo;Bela Vista;São Paulo;República;;;;;
São Bernardo;Penha;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Tucuruvi;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
Nogueira;Sé;São Paulo;Higienópolis;;;;;
São Paulo;Lapa;São Paulo;Jabaquara;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
Ribeirão Pires;Tucuruvi;São Paulo;Limão;;;;;
São Paulo;Lapa;São Paulo;Bela Vista;;;;;
São Paulo;Lapa;São Paulo;Sé;;;;;
São Paulo;Consolação;São Paulo;Butantã;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Lapa;São Paulo;Bela Vista;;;;;
Moreira;República;São Paulo;Casa Verde;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Limão;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Higienópolis;;;;;
São Paulo;República;São Paulo;Ipiranga;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Itaquera;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
Peixoto;Casa Verde;São Paulo;Higienópolis;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Casa Verde;;;;;
São Paulo;Bela Vista;São Paulo;Bela Vista;;;;;
São Paulo;Butantã;São Paulo;Lapa;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Itaquera;São Paulo;Higienópolis;;;;;
São Paulo;Sé;São Paulo;Higienópolis;;;;;
São Paulo;Lapa;São Paulo;Ipiranga;;;;;
São Paulo;Tucuruvi;São Paulo;Bela Vista;;;;;
São Paulo;Higienópolis;São Paulo;República;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Lapa;;;;;
São Paulo;República;São Paulo;Tucuruvi;;;;;
São Paulo;Jabaquara;São Paulo;Tatuapé;;;;;
São Paulo;Penha;São Paulo;Consolação;;;;;
São Paulo;Itaquera;São Paulo;Sé;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Consolação;;;;;
São Paulo;Penha;São Paulo;Higienópolis;;;;;
São Paulo;Jabaquara;São Paulo;Bela Vista;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Tucuruvi;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Santo Amaro;;;;;
São Paulo;Consolação;São Paulo;Higienópolis;;;;;
São Paulo;Pinheiros;São Paulo;Sé;;;;;
Farias;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Sé;;;;;
São Paulo;Perdizes;São Paulo;Butantã;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Bela Vista;;;;;
São Paulo;Ipiranga;São Paulo;Vila Prudente;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;Sé;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Sé;;;;;
São Paulo;Tucuruvi;São Paulo;Consolação;;;;;
Lopes;Tatuapé;São Paulo;Casa Verde;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Higienópolis;;;;;
São Paulo;Pinheiros;São Paulo;República;;;;;
São Paulo;Itaquera;São Paulo;Santana;;;;;
São Paulo;Vila Prudente;São Paulo;Tucuruvi;;;;;
São Paulo;República;São Paulo;Sé;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Campo Limpo;;;;;
São Paulo;Penha;São Paulo;Sé;;;;;
São Paulo;Santo Amaro;São Paulo;Tucuruvi;;;;;
São Paulo;Itaquera;São Paulo;República;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Bela Vista;;;;;
São Paulo;Perdizes;São Paulo;República;;;;;
São Paulo;Tatuapé;São Paulo;Bela Vista;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;República;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Tucuruvi;;;;;
São Paulo;Penha;São Paulo;Consolação;;;;;
São Paulo;Campo Limpo;São Paulo;Higienópolis;;;;;
Diadema;Itaquera;São Paulo;Consolação;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Tucuruvi;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Santo Amaro;São Paulo;Bela Vista;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Itaquera;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
São Paulo;Jabaquara;São Paulo;Consolação;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Tucuruvi;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;República;;;;;
São Paulo;Casa Verde;São Paulo;Consolação;;;;;
São Paulo;Jabaquara;São Paulo;Bela Vista;;;;;
São Paulo;Casa Verde;São Paulo;Casa Verde;;;;;
São Paulo;Tucuruvi;São Paulo;Sé;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Ipiranga;São Paulo;Lapa;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;Itaquera;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Santana;São Paulo;Tatuapé;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Limão;;;;;
Silveira;Sé;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Itaquera;;;;;
São Paulo;Consolação;São Paulo;República;;;;;
Pires;República;São Paulo;Higienópolis;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Casa Verde;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
Barros de Minas;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Higienópolis;;;;;
São Paulo;Sé;São Paulo;Higienópolis;;;;;
São Paulo;Sé;São Paulo;Tatuapé;;;;;
São Paulo;Sé;São Paulo;República;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Sé;;;;;
São Paulo;Penha;São Paulo;República;;;;;
São Paulo;Limão;São Paulo;Santana;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
Itapevi;Santana;São Paulo;Sé;;;;;
Diadema;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Pinheiros;;;;;
São Paulo;Lapa;São Paulo;República;;;;;
São Paulo;Tatuapé;São Paulo;República;;;;;
São Paulo;Penha;São Paulo;Vila Prudente;;;;;
São Paulo;Campo Limpo;São Paulo;Butantã;;;;;
São Paulo;República;São Paulo;Tatuapé;;;;;
São Paulo;Perdizes;São Paulo;Bela Vista;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;República;São Paulo;Penha;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;República;;;;;
São Paulo;Ipiranga;São Paulo;Sé;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;República;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;Casa Verde;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
Diadema;Centro;São Paulo;Consolação;;;;;
São Paulo;Limão;São Paulo;Casa Verde;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;República;;;;;
Diadema;Campo Limpo;São Paulo;República;;;;;
São Paulo;República;São Paulo;Higienópolis;;;;;
São Paulo;Santana;São Paulo;Casa Verde;;;;;
Ribeiro;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
Diadema;Butantã;São Paulo;Tucuruvi;;;;;
São Paulo;Santana;São Paulo;República;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Sé;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Consolação;;;;;
São Paulo;Limão;São Paulo;República;;;;;
São Paulo;Butantã;São Paulo;República;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Limão;São Paulo;Bela Vista;;;;;
São Paulo;Itaquera;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
Nunes;Sé;São Paulo;Consolação;;;;;
Diadema;Limão;Não informado;Não informado;;;;;
Diadema;Sé;São Paulo;Vila Prudente;;;;;
São Paulo;Penha;São Paulo;Higienópolis;;;;;
São Paulo;Santo Amaro;São Paulo;Sé;;;;;
São Paulo;República;Não informado;Não informado;;;;;
Diadema;Limão;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
Caldeira;Higienópolis;Não informado;Não informado;;;;;
Ferreira;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Itaquera;São Paulo;Higienópolis;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Tucuruvi;;;;;
São Paulo;Higienópolis;São Paulo;Higienópolis;;;;;
São Paulo;Bela Vista;São Paulo;Santo Amaro;;;;;
São Paulo;Lapa;São Paulo;Vila Prudente;;;;;
São Paulo;Vila Prudente;São Paulo;Ipiranga;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Ipiranga;São Paulo;Consolação;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Santana;;;;;
São Paulo;Campo Limpo;São Paulo;Penha;;;;;
São Paulo;Casa Verde;São Paulo;Vila Prudente;;;;;
Pinto Grande;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Penha;São Paulo;República;;;;;
Melo do Galho;República;São Paulo;Higienópolis;;;;;
Moreira;Jabaquara;São Paulo;Tucuruvi;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Consolação;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
Gon√ßalves;Ipiranga;São Paulo;República;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Vila Prudente;;;;;
Carvalho;Vila Prudente;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Pinheiros;São Paulo;República;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Tucuruvi;;;;;
Diadema;Sé;Não informado;Não informado;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Itaquera;São Paulo;Consolação;;;;;
São Paulo;Vila Prudente;São Paulo;Higienópolis;;;;;
São Paulo;Tatuapé;São Paulo;Consolação;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Sé;;;;;
Ribeirão Pires;Santana;Não informado;Não informado;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Santo Amaro;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Ipiranga;;;;;
São Paulo;Limão;São Paulo;Consolação;;;;;
São Paulo;Higienópolis;São Paulo;Santana;;;;;
São Paulo;Casa Verde;São Paulo;Bela Vista;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Sé;São Paulo;República;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
Itapevi;República;São Paulo;Tucuruvi;;;;;
São Paulo;Ipiranga;São Paulo;Limão;;;;;
São Paulo;Bela Vista;São Paulo;Jabaquara;;;;;
São Paulo;Limão;São Paulo;Santana;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Sé;;;;;
São Paulo;Campo Limpo;São Paulo;Consolação;;;;;
São Paulo;Higienópolis;São Paulo;Santana;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Sé;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Higienópolis;São Paulo;Jabaquara;;;;;
São Paulo;Butantã;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Sé;;;;;
São Paulo;Vila Prudente;São Paulo;Sé;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Vila Prudente;São Paulo;Sé;;;;;
São Paulo;Casa Verde;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;Tucuruvi;;;;;
Santos;Casa Verde;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Casa Verde;;;;;
São Paulo;Higienópolis;São Paulo;Bela Vista;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Itaquera;;;;;
São Paulo;Santana;São Paulo;Santana;;;;;
São Paulo;Tatuapé;São Paulo;Lapa;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;República;;;;;
São Paulo;Butantã;São Paulo;República;;;;;
São Paulo;República;São Paulo;Sé;;;;;
São Paulo;Tatuapé;São Paulo;Bela Vista;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
Melo de Farias;Casa Verde;São Paulo;Santana;;;;;
São Paulo;Santana;São Paulo;Higienópolis;;;;;
São Paulo;Tucuruvi;São Paulo;Consolação;;;;;
São Paulo;Consolação;São Paulo;Sé;;;;;
São Paulo;Consolação;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;Butantã;;;;;
São Paulo;República;Não informado;Não informado;;;;;
Moraes do Campo;Limão;Não informado;Não informado;;;;;
São Paulo;República;São Paulo;República;;;;;
São Paulo;Tatuapé;São Paulo;Ipiranga;;;;;
São Paulo;Pinheiros;São Paulo;Casa Verde;;;;;
São Paulo;Itaquera;Não informado;Não informado;;;;;
São Paulo;Lapa;São Paulo;Casa Verde;;;;;
São Paulo;Tucuruvi;São Paulo;Limão;;;;;
São Paulo;Ipiranga;São Paulo;Higienópolis;;;;;
São Paulo;Jabaquara;São Paulo;República;;;;;
São Paulo;República;São Paulo;Sé;;;;;
São Paulo;Bela Vista;Não informado;Não informado;;;;;
São Paulo;Consolação;São Paulo;Tucuruvi;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Bela Vista;;;;;
São Paulo;Jabaquara;São Paulo;Penha;;;;;
São Paulo;Perdizes;Não informado;Não informado;;;;;
São Paulo;Sé;Não informado;Não informado;;;;;
São Paulo;Santana;São Paulo;Vila Prudente;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Perdizes;São Paulo;República;;;;;
São Caetano;Pinheiros;São Paulo;Consolação;;;;;
São Paulo;Tatuapé;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Limão;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;São Paulo;República;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Bela Vista;;;;;
São Paulo;Santana;São Paulo;Bela Vista;;;;;
São Paulo;Santana;São Paulo;Vila Prudente;;;;;
Diadema;Campo Limpo;Não informado;Não informado;;;;;
São Paulo;Campo Limpo;São Paulo;Tucuruvi;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Tatuapé;;;;;
São Paulo;Butantã;São Paulo;Sé;;;;;
São Paulo;República;São Paulo;Consolação;;;;;
São Paulo;Higienópolis;Não informado;Não informado;;;;;
São Paulo;Casa Verde;São Paulo;Itaquera;;;;;
São Paulo;Santo Amaro;Não informado;Não informado;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Santana;;;;;
São Paulo;Santo Amaro;São Paulo;Higienópolis;;;;;
São Paulo;Ipiranga;São Paulo;Bela Vista;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Tucuruvi;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Sé;;;;;
São Paulo;Casa Verde;São Paulo;Tatuapé;;;;;
São Paulo;Penha;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Sé;;;;;
São Paulo;Perdizes;São Paulo;Sé;;;;;
São Paulo;Santana;Não informado;Não informado;;;;;
São Paulo;Jabaquara;São Paulo;Sé;;;;;
São Paulo;Ipiranga;São Paulo;República;;;;;
São Paulo;Tucuruvi;São Paulo;Higienópolis;;;;;
Campos de Goi√°s;República;São Paulo;Santana;;;;;
São Paulo;Limão;São Paulo;Sé;;;;;
São Paulo;Campo Limpo;São Paulo;Sé;;;;;
São Paulo;Lapa;São Paulo;Higienópolis;;;;;
São Paulo;Penha;São Paulo;Sé;;;;;
São Paulo;Pinheiros;Não informado;Não informado;;;;;
São Paulo;Butantã;São Paulo;Casa Verde;;;;;
São Paulo;Itaquera;São Paulo;Tatuapé;;;;;
São Paulo;Penha;São Paulo;Bela Vista;;;;;
São Paulo;Tatuapé;São Paulo;Jabaquara;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
São Paulo;Santo Amaro;São Paulo;Sé;;;;;
São Paulo;Penha;São Paulo;Vila Prudente;;;;;
São Paulo;Campo Limpo;Não informado;Não informado;;;;;
Monteiro dos Dourados;República;São Paulo;Santana;;;;;
São Paulo;Lapa;Não informado;Não informado;;;;;
São Paulo;Bela Vista;São Paulo;Penha;;;;;
São Paulo;Limão;Não informado;Não informado;;;;;
São Paulo;República;Não informado;Não informado;;;;;
São Paulo;Tatuapé;São Paulo;Higienópolis;;;;;
São Paulo;Santana;São Paulo;Consolação;;;;;
São Paulo;Casa Verde;São Paulo;Sé;;;;;
São Paulo;Ipiranga;Não informado;Não informado;;;;;
