data;nome_estabelecimento;bairro_estabelecimento;categoria_estabelecimento;tipo_cupom;valor_cupom;repasse_picmoney
25/07/2025;Clube Pinheiros;Santo Amaro;Clínicas Médicas e Laboratórios;Desconto;807.88;101.1
06/07/2025;Sesc Carmo;Campo Limpo;Papelarias, Livrarias e Lojas de Escritório;Desconto;970.58;142.35
16/07/2025;Habib's;Lapa;Lanchonetes e Fast-Food;Produto;491.51;7.17
30/07/2025;Renner;Lapa;Lojas de Roupas e Sneakers;Desconto;534.95;131.26
19/07/2025;Selfit;República;Academias e Studios Fitness;Produto;512.32;24.05
05/07/2025;Forever 21;Tatuapé;Lojas de Roupas e Sneakers;Cashback;428.25;21.41
31/07/2025;Carrefour Express;Ipiranga;Fisioterapia e Terapias Complementares;Produto;973.52;29.44
21/07/2025;McDonald's;Limão;Lanchonetes e Fast-Food;Desconto;598.48;295.29
13/07/2025;Drogaria São Paulo;Higienópolis;Farmácias e Drogarias;Cashback;481.67;24.08
22/07/2025;Renner;Limão;Papelarias, Livrarias e Lojas de Escritório;Cashback;911.29;45.56
16/07/2025;Lavoisier;Pinheiros;Lojas de Móveis e Decoração;Desconto;881.71;271.61
05/07/2025;Burger King;Limão;Barbearias/Salões com estética jovem;Produto;657.4;10.52
02/07/2025;Drogaria São Paulo;Tatuapé;Farmácias e Drogarias;Desconto;663.71;259.29
11/07/2025;Forever 21;Penha;Igrejas e Lojas de Artigos Religiosos;Cashback;892.81;44.64
10/07/2025;Madero;República;Lojas de Móveis e Decoração;Produto;797.48;32.64
29/07/2025;Sesc Paulista;Campo Limpo;Supermercados de Bairro e Mercadinhos;Desconto;600.39;89.4
22/07/2025;Renner;Butantã;Bancos e Casas Lotéricas;Cashback;295.58;14.78
13/07/2025;Drogasil;Tatuapé;Farmácias e Drogarias;Desconto;411.83;195.83
08/07/2025;Riachuelo;Tatuapé;Calçados Confortáveis e Ortopédicos;Cashback;952.75;47.64
08/07/2025;Madero;Bela Vista;Restaurantes e Gastronomia;Produto;840.91;29.81
09/07/2025;Extra;Vila Prudente;Lojas de Eletrônicos e Games;Produto;969.92;39.4
11/07/2025;Selfit;Pinheiros;Bancos e Casas Lotéricas;Cashback;490.2;24.51
01/07/2025;Starbucks;Itaquera;Cafeterias e Bistrôs Modernos;Produto;845.37;44.82
20/07/2025;Sesc Paulista;República;Clubes e Centros de Convivência;Desconto;937.27;239.16
26/07/2025;Octavio Café;Sé;Cafeterias e Bistrôs Modernos;Desconto;241.02;37.72
08/07/2025;Açaí no Ponto;Consolação;Lanchonetes e Fast-Food;Cashback;261.79;13.09
06/07/2025;Ráscal;Itaquera;Restaurantes e Gastronomia;Cashback;256.27;12.81
19/07/2025;Carrefour Express;República;Supermercados e Mercados Express;Desconto;764.13;110.95
15/07/2025;Burger King;Campo Limpo;Espaços Culturais e de Experiência Interativa;Produto;156.32;6.1
26/07/2025;Pão de Açúcar;Itaquera;Igrejas e Lojas de Artigos Religiosos;Cashback;133.25;6.66
31/07/2025;Café Cultura;República;Fisioterapia e Terapias Complementares;Cashback;525.07;26.25
31/07/2025;Sesc Carmo;Tucuruvi;Clínicas Médicas e Laboratórios;Produto;501.68;15.83
16/07/2025;Habib's;Jabaquara;Lojas de Roupas e Calçados;Desconto;484.72;58.93
01/07/2025;Droga Raia;República;Farmácias e Drogarias;Produto;738.34;11.84
12/07/2025;Pão de Açúcar;Tatuapé;Espaços Culturais e de Experiência Interativa;Desconto;706.21;154.2
17/07/2025;Forever 21;República;Fisioterapia e Terapias Complementares;Cashback;147.14;7.36
12/07/2025;Smart Fit;Itaquera;Lojas de Moda Urbana e Alternativa;Produto;291.83;15.18
17/07/2025;Café Cultura;Santo Amaro;Clínicas Médicas e Laboratórios;Cashback;895.79;44.79
16/07/2025;Riachuelo;Santana;Lojas de Roupas e Sneakers;Desconto;301.31;128.83
08/07/2025;Drogaria São Paulo;Ipiranga;Farmácias e Drogarias;Produto;188.15;3.67
23/07/2025;Renner;Sé;Fisioterapia e Terapias Complementares;Produto;312.97;14.07
21/07/2025;Habib's;Santo Amaro;Lojas de Roupas e Calçados;Produto;454.3;7.84
01/07/2025;Starbucks;Tatuapé;Bancos, Agências e Correspondentes;Desconto;137.59;65.94
13/07/2025;Renner;Santo Amaro;Igrejas e Lojas de Artigos Religiosos;Desconto;626.44;237.79
12/07/2025;Ráscal;Lapa;Calçados Confortáveis e Ortopédicos;Produto;338.33;11.63
30/07/2025;Selfit;Jabaquara;Academias e Studios Fitness;Desconto;689.15;238.96
27/07/2025;Magazine Luiza;Limão;Supermercados de Bairro e Mercadinhos;Produto;285.92;10.3
31/07/2025;Lavoisier;Lapa;Cinema e Streaming Experience Stores;Produto;953.15;41.69
02/07/2025;Pão de Açúcar;Penha;Supermercados e Mercados Express;Cashback;471.49;23.57
16/07/2025;Drogaria São Paulo;Santo Amaro;Produtos Naturais e Fitoterápicos;Desconto;369.05;98.77
19/07/2025;Drogaria São Paulo;Santo Amaro;Farmácias e Drogarias;Desconto;260.76;63.4
10/07/2025;Madero;Limão;Restaurantes e Gastronomia;Desconto;407.36;183.41
10/07/2025;Drogasil;Penha;Farmácias e Drogarias;Cashback;289.67;14.48
31/07/2025;Pão de Açúcar;Lapa;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;252.6;12.63
08/07/2025;Forever 21;Lapa;Lojas de Moda Urbana e Alternativa;Produto;272.34;6.27
13/07/2025;Selfit;Casa Verde;Fisioterapia e Terapias Complementares;Produto;976.04;30.27
08/07/2025;Smart Fit;Tatuapé;Academias e Studios Fitness;Cashback;419.49;20.97
13/07/2025;Selfit;República;Calçados Confortáveis e Ortopédicos;Desconto;550.68;71.25
06/07/2025;Ráscal;Consolação;Bancos e Casas Lotéricas;Produto;701.87;14.51
05/07/2025;Just Run;Lapa;Lojas de Eletrônicos e Games;Cashback;700.37;35.02
07/07/2025;Forever 21;Consolação;Calçados Confortáveis e Ortopédicos;Produto;123.07;7.16
24/07/2025;Selfit;Ipiranga;Cinema e Streaming Experience Stores;Produto;181.67;2.53
02/07/2025;Pão de Açúcar;Itaquera;Espaços Culturais e de Experiência Interativa;Desconto;447.93;125.91
31/07/2025;Outback;Penha;Bancos, Agências e Correspondentes;Produto;868.96;43.65
22/07/2025;Ráscal;Campo Limpo;Fisioterapia e Terapias Complementares;Produto;699.2;18.15
11/07/2025;Café Cultura;Consolação;Lojas de Roupas e Calçados;Cashback;860.49;43.02
19/07/2025;Just Run;Itaquera;Academias e Studios Fitness;Desconto;162.51;25.21
20/07/2025;Fleury;Tatuapé;Lojas de Eletrônicos e Games;Desconto;146.14;64.25
19/07/2025;Octavio Café;Tatuapé;Cafeterias e Bistrôs Modernos;Cashback;529.72;26.49
23/07/2025;Lavoisier;Tatuapé;Clínicas de Saúde e Bem-estar;Produto;501.84;9.59
23/07/2025;Droga Raia;Itaquera;Farmácias e Drogarias;Desconto;949.12;112.34
02/07/2025;Fleury;Santo Amaro;Clínicas de Saúde e Bem-estar;Desconto;753.72;328.54
24/07/2025;Selfit;Vila Prudente;Academias e Studios Fitness;Produto;128.96;3.77
14/07/2025;Smart Fit;Jabaquara;Bancos, Agências e Correspondentes;Cashback;796.49;39.82
16/07/2025;Churrascaria Boi Preto;Itaquera;Papelarias, Livrarias e Lojas de Escritório;Cashback;505.4;25.27
24/07/2025;Extra;Vila Prudente;Lojas de Eletrônicos e Games;Desconto;573.36;71.6
11/07/2025;Forever 21;Campo Limpo;Lojas de Moda Urbana e Alternativa;Desconto;328.77;120.15
17/07/2025;Drogasil;Tucuruvi;Farmácias e Drogarias;Produto;738.19;32.09
28/07/2025;Madero;Penha;Calçados Confortáveis e Ortopédicos;Cashback;320.7;16.04
13/07/2025;Madero;Higienópolis;Igrejas e Lojas de Artigos Religiosos;Desconto;633.64;104.99
25/07/2025;Sabin;Sé;Clínicas de Saúde e Bem-estar;Cashback;273.19;13.66
14/07/2025;Sabin;Butantã;Calçados Confortáveis e Ortopédicos;Cashback;402.89;20.14
19/07/2025;Sesc Carmo;República;Clubes e Centros de Convivência;Cashback;373.4;18.67
13/07/2025;Drogasil;Tatuapé;Farmácias e Drogarias;Desconto;930.15;351.83
04/07/2025;Extra;Campo Limpo;Papelarias, Livrarias e Lojas de Escritório;Cashback;732.75;36.64
14/07/2025;Lavoisier;Sé;Clínicas de Saúde e Bem-estar;Desconto;136.48;54.56
18/07/2025;Starbucks;Consolação;Bancos, Agências e Correspondentes;Cashback;825.37;41.27
05/07/2025;Smart Fit;Limão;Lojas de Móveis e Decoração;Desconto;483.39;192.09
26/07/2025;Drogaria São Paulo;Santana;Farmácias e Drogarias;Produto;730.73;22.94
12/07/2025;Droga Raia;Itaquera;Produtos Naturais e Fitoterápicos;Produto;333.98;15.23
31/07/2025;Forever 21;Santo Amaro;Lojas de Roupas e Sneakers;Produto;258.55;12.85
01/07/2025;Sesc Carmo;Tatuapé;Fisioterapia e Terapias Complementares;Desconto;131.39;50.71
28/07/2025;Ráscal;Pinheiros;Restaurantes e Gastronomia;Desconto;868.9;362.75
19/07/2025;Subway;Bela Vista;Bancos e Casas Lotéricas;Cashback;131.04;6.55
21/07/2025;Burger King;Sé;Lanchonetes e Fast-Food;Cashback;789.4;39.47
09/07/2025;Drogaria São Paulo;Jabaquara;Produtos Naturais e Fitoterápicos;Produto;648.43;21.89
21/07/2025;Droga Raia;Consolação;Farmácias e Drogarias;Produto;320.91;9.51
12/07/2025;Ráscal;Santana;Restaurantes e Gastronomia;Cashback;674.2;33.71
31/07/2025;Açaí no Ponto;Vila Prudente;Igrejas e Lojas de Artigos Religiosos;Produto;438.1;17.47
04/07/2025;Habib's;Vila Prudente;Clínicas Médicas e Laboratórios;Desconto;191.59;66.09
30/07/2025;Sesc Carmo;Sé;Clubes e Centros de Convivência;Desconto;466.96;73.55
16/07/2025;Smart Fit;Bela Vista;Academias e Studios Fitness;Cashback;450.69;22.53
30/07/2025;Ráscal;Vila Prudente;Papelarias, Livrarias e Lojas de Escritório;Desconto;693.33;74.81
11/07/2025;Magazine Luiza;Ipiranga;Lojas de Moda Urbana e Alternativa;Desconto;241.4;64.54
23/07/2025;Clube Pinheiros;Vila Prudente;Clubes e Centros de Convivência;Cashback;620.86;31.04
21/07/2025;Drogaria São Paulo;Santana;Farmácias e Drogarias;Cashback;704.61;35.23
05/07/2025;Outback;Limão;Espaços Culturais e de Experiência Interativa;Desconto;218.01;93.29
09/07/2025;Droga Raia;Tatuapé;Farmácias e Drogarias;Cashback;397.96;19.9
01/07/2025;Casas Bahia;Limão;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;404.43;19.64
19/07/2025;Riachuelo;Santana;Lojas de Roupas e Sneakers;Desconto;256.44;110.32
22/07/2025;Churrascaria Boi Preto;Butantã;Restaurantes e Gastronomia;Produto;590.42;11.45
30/07/2025;Sesc Carmo;Penha;Lojas de Moda Urbana e Alternativa;Cashback;653.02;32.65
10/07/2025;Casas Bahia;Perdizes;Calçados Confortáveis e Ortopédicos;Cashback;993.04;49.65
30/07/2025;Lavoisier;Vila Prudente;Lojas de Roupas e Calçados;Cashback;639.68;31.98
06/07/2025;Sesc Carmo;Santo Amaro;Clubes e Centros de Convivência;Desconto;487.91;234.15
03/07/2025;Droga Raia;Lapa;Lojas de Móveis e Decoração;Desconto;641.8;172.4
09/07/2025;Açaí no Ponto;Ipiranga;Produtos Naturais e Fitoterápicos;Produto;195.04;3.2
27/07/2025;Extra;Bela Vista;Supermercados e Mercados Express;Desconto;642.51;77.83
23/07/2025;Starbucks;Vila Prudente;Lojas de Roupas e Calçados;Produto;543.6;7.8
15/07/2025;Selfit;Bela Vista;Barbearias/Salões com estética jovem;Produto;313.1;4.03
03/07/2025;Forever 21;Consolação;Fisioterapia e Terapias Complementares;Cashback;803.69;40.18
06/07/2025;Lavoisier;Consolação;Postos de Combustível e Serviços Automotivos;Cashback;586.73;29.34
26/07/2025;Starbucks;Casa Verde;Cafeterias e Bistrôs Modernos;Cashback;996.97;49.85
30/07/2025;Clube Pinheiros;Pinheiros;Papelarias, Livrarias e Lojas de Escritório;Produto;797.89;36.24
17/07/2025;Pão de Açúcar;Pinheiros;Produtos Naturais e Fitoterápicos;Cashback;365.29;18.26
21/07/2025;Café Cultura;Ipiranga;Supermercados de Bairro e Mercadinhos;Cashback;334.82;16.74
28/07/2025;Magazine Luiza;Perdizes;Produtos Naturais e Fitoterápicos;Cashback;745.99;37.3
17/07/2025;Sesc Carmo;Campo Limpo;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;275.91;13.8
24/07/2025;Drogasil;Perdizes;Farmácias e Drogarias;Desconto;183.16;50.8
17/07/2025;Extra;Higienópolis;Supermercados e Mercados Express;Produto;987.96;13.37
31/07/2025;Octavio Café;Perdizes;Calçados Confortáveis e Ortopédicos;Cashback;995.68;49.78
21/07/2025;Clube Pinheiros;Tatuapé;Barbearias/Salões com estética jovem;Desconto;873.1;384.1
25/07/2025;Drogaria São Paulo;Tatuapé;Farmácias e Drogarias;Produto;147.83;5.23
23/07/2025;Renner;Tatuapé;Calçados Confortáveis e Ortopédicos;Desconto;303.62;76.38
22/07/2025;Açaí no Ponto;Sé;Cinema e Streaming Experience Stores;Desconto;460.73;88.64
06/07/2025;Extra;Penha;Supermercados e Mercados Express;Desconto;361.17;113.34
09/07/2025;Sesc Paulista;Campo Limpo;Calçados Confortáveis e Ortopédicos;Produto;991.58;41.03
11/07/2025;Outback;Santana;Restaurantes e Gastronomia;Produto;559.35;11.2
17/07/2025;Fleury;Bela Vista;Clínicas de Saúde e Bem-estar;Cashback;559.8;27.99
17/07/2025;Clube Pinheiros;Santana;Clubes e Centros de Convivência;Desconto;568.27;240.94
21/07/2025;Drogasil;Vila Prudente;Lojas de Móveis e Decoração;Produto;746.84;18.51
19/07/2025;Selfit;Ipiranga;Produtos Naturais e Fitoterápicos;Desconto;942.68;334.11
02/07/2025;Pão de Açúcar;Consolação;Lojas de Móveis e Decoração;Desconto;194.39;46.45
03/07/2025;Subway;Jabaquara;Lojas de Eletrodomésticos e Utilidades Domésticas;Desconto;718.58;220.28
24/07/2025;Ponto;Lapa;Restaurantes com comida caseira;Desconto;619.63;101.07
13/07/2025;Extra;Santo Amaro;Supermercados e Mercados Express;Cashback;722.57;36.13
29/07/2025;Renner;Limão;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;231.19;5.98
30/07/2025;Açaí no Ponto;Lapa;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;999.86;25.13
25/07/2025;Clube Pinheiros;Limão;Espaços Culturais e de Experiência Interativa;Cashback;466.09;23.3
12/07/2025;Outback;Lapa;Restaurantes e Gastronomia;Cashback;833.65;41.68
28/07/2025;Lavoisier;Bela Vista;Supermercados de Bairro e Mercadinhos;Produto;613.6;24.43
26/07/2025;Riachuelo;Tatuapé;Produtos Naturais e Fitoterápicos;Cashback;452.5;22.62
31/07/2025;Pão de Açúcar;Ipiranga;Postos de Combustível e Serviços Automotivos;Produto;912.62;46.29
05/07/2025;Drogaria São Paulo;Limão;Lojas de Eletrônicos e Games;Cashback;140.55;7.03
15/07/2025;Smart Fit;Bela Vista;Academias e Studios Fitness;Desconto;954.28;265.7
14/07/2025;McDonald's;Perdizes;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;855.85;31.27
28/07/2025;Madero;Bela Vista;Restaurantes e Gastronomia;Desconto;433.89;205.66
04/07/2025;Drogasil;Itaquera;Farmácias e Drogarias;Produto;580.12;12.09
28/07/2025;Just Run;Vila Prudente;Espaços Culturais e de Experiência Interativa;Cashback;200.8;10.04
26/07/2025;Just Run;Sé;Produtos Naturais e Fitoterápicos;Desconto;116.75;18.27
08/07/2025;Smart Fit;Consolação;Calçados Confortáveis e Ortopédicos;Produto;591.52;7.44
26/07/2025;Octavio Café;Higienópolis;Cafeterias e Bistrôs Modernos;Cashback;126.96;6.35
06/07/2025;Café Cultura;Casa Verde;Barbearias/Salões com estética jovem;Cashback;186.62;9.33
11/07/2025;McDonald's;Tatuapé;Lojas de Móveis e Decoração;Cashback;760.03;38
10/07/2025;Carrefour Express;Santana;Coworkings e Centros de Estudo/Conexão;Produto;698.84;38.25
07/07/2025;Ráscal;Pinheiros;Produtos Naturais e Fitoterápicos;Produto;251.09;6.32
05/07/2025;Drogaria São Paulo;Bela Vista;Bancos, Agências e Correspondentes;Cashback;342.13;17.11
11/07/2025;Casas Bahia;Lapa;Igrejas e Lojas de Artigos Religiosos;Desconto;350.71;117.83
14/07/2025;Selfit;Itaquera;Igrejas e Lojas de Artigos Religiosos;Produto;414.06;15.97
18/07/2025;McDonald's;Consolação;Fisioterapia e Terapias Complementares;Desconto;311.17;140.39
02/07/2025;Forever 21;Penha;Lojas de Roupas e Sneakers;Cashback;537.77;26.89
14/07/2025;Outback;Bela Vista;Restaurantes e Gastronomia;Produto;814.68;37.21
28/07/2025;Forever 21;Bela Vista;Lojas de Móveis e Decoração;Cashback;284.72;14.24
23/07/2025;Sesc Carmo;Tucuruvi;Igrejas e Lojas de Artigos Religiosos;Desconto;603.98;137.17
21/07/2025;Pão de Açúcar;Tatuapé;Supermercados e Mercados Express;Produto;893.63;22.65
16/07/2025;Fleury;Itaquera;Produtos Naturais e Fitoterápicos;Desconto;487.4;203.8
26/07/2025;Extra;Penha;Barbearias/Salões com estética jovem;Desconto;327.18;146.13
16/07/2025;Drogasil;Pinheiros;Lojas de Eletrodomésticos e Utilidades Domésticas;Produto;906.67;40.91
16/07/2025;Sesc Paulista;Bela Vista;Clubes e Centros de Convivência;Desconto;611.22;96.8
16/07/2025;Renner;Vila Prudente;Lojas de Roupas e Sneakers;Cashback;441.74;22.09
12/07/2025;Forever 21;Bela Vista;Fisioterapia e Terapias Complementares;Desconto;240.55;70.45
07/07/2025;Magazine Luiza;Tucuruvi;Restaurantes com comida caseira;Cashback;262.68;13.13
21/07/2025;Outback;Campo Limpo;Calçados Confortáveis e Ortopédicos;Desconto;749.23;135.93
09/07/2025;Madero;Jabaquara;Bancos, Agências e Correspondentes;Desconto;787.96;142.28
18/07/2025;Drogaria São Paulo;Consolação;Farmácias e Drogarias;Produto;804.33;12.97
27/07/2025;Starbucks;Consolação;Barbearias/Salões com estética jovem;Desconto;923.07;171.86
26/07/2025;Drogasil;Itaquera;Farmácias e Drogarias;Desconto;218.4;69.43
12/07/2025;Subway;Campo Limpo;Bancos, Agências e Correspondentes;Cashback;591.24;29.56
12/07/2025;Riachuelo;Limão;Lojas de Roupas e Sneakers;Cashback;402.16;20.11
09/07/2025;Drogasil;Campo Limpo;Bancos, Agências e Correspondentes;Produto;282.5;9.72
05/07/2025;Fleury;Campo Limpo;Restaurantes com comida caseira;Cashback;842.9;42.15
31/07/2025;Renner;Higienópolis;Fisioterapia e Terapias Complementares;Desconto;462.37;55.54
13/07/2025;Ráscal;Limão;Lojas de Eletrônicos e Games;Desconto;960.99;418.16
18/07/2025;Octavio Café;Santo Amaro;Cafeterias e Bistrôs Modernos;Desconto;352.85;105.42
31/07/2025;Drogasil;Perdizes;Farmácias e Drogarias;Cashback;435.42;21.77
11/07/2025;Forever 21;Pinheiros;Papelarias, Livrarias e Lojas de Escritório;Produto;263.73;12.43
07/07/2025;Droga Raia;Limão;Farmácias e Drogarias;Produto;847.28;15.41
02/07/2025;Carrefour Express;Limão;Barbearias/Salões com estética jovem;Cashback;188.71;9.44
14/07/2025;Drogasil;Perdizes;Farmácias e Drogarias;Cashback;539.95;27
31/07/2025;Droga Raia;Itaquera;Bancos, Agências e Correspondentes;Produto;262.24;6.37
27/07/2025;Ráscal;Vila Prudente;Lojas de Eletrodomésticos e Utilidades Domésticas;Desconto;682.64;181.77
15/07/2025;Drogasil;Itaquera;Igrejas e Lojas de Artigos Religiosos;Desconto;118.54;50.06
31/07/2025;Octavio Café;Penha;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;730.76;36.54
25/07/2025;Octavio Café;Campo Limpo;Lojas de Eletrodomésticos e Utilidades Domésticas;Cashback;339.47;16.97
12/07/2025;Drogaria São Paulo;Jabaquara;Bancos, Agências e Correspondentes;Produto;514.35;14.36
21/07/2025;Just Run;Pinheiros;Lojas de Roupas e Calçados;Produto;981.93;52.79
11/07/2025;Riachuelo;Santana;Lojas de Roupas e Sneakers;Desconto;504.6;56.94
10/07/2025;Açaí no Ponto;Sé;Produtos Naturais e Fitoterápicos;Produto;315.61;3.28
21/07/2025;Casas Bahia;Casa Verde;Cinema e Streaming Experience Stores;Desconto;769.65;137.32
18/07/2025;Octavio Café;Pinheiros;Papelarias, Livrarias e Lojas de Escritório;Desconto;717.86;338.51
28/07/2025;Madero;Tatuapé;Supermercados de Bairro e Mercadinhos;Produto;841.38;17.78
09/07/2025;Pão de Açúcar;Tucuruvi;Lojas de Móveis e Decoração;Desconto;318.4;91.56
18/07/2025;Starbucks;Campo Limpo;Igrejas e Lojas de Artigos Religiosos;Produto;823.85;20.69
05/07/2025;Habib's;Casa Verde;Lojas de Móveis e Decoração;Desconto;153.23;59.21
22/07/2025;Ponto;Jabaquara;Supermercados de Bairro e Mercadinhos;Produto;457.56;21.54
27/07/2025;Pão de Açúcar;Consolação;Supermercados e Mercados Express;Desconto;648.78;153.66
21/07/2025;Burger King;Itaquera;Lojas de Moda Urbana e Alternativa;Produto;291.46;17.42
06/07/2025;Pão de Açúcar;República;Supermercados e Mercados Express;Cashback;543.74;27.19
15/07/2025;Drogaria São Paulo;Casa Verde;Farmácias e Drogarias;Desconto;121.36;20.2
10/07/2025;Riachuelo;Lapa;Lojas de Móveis e Decoração;Cashback;275.6;13.78
27/07/2025;Smart Fit;Penha;Produtos Naturais e Fitoterápicos;Desconto;553.2;140.24
20/07/2025;Ponto;Perdizes;Coworkings e Centros de Estudo/Conexão;Desconto;994.49;114.16
14/07/2025;Casas Bahia;Tatuapé;Postos de Combustível e Serviços Automotivos;Produto;997.81;21.84
04/07/2025;Droga Raia;Bela Vista;Fisioterapia e Terapias Complementares;Cashback;145.43;7.27
29/07/2025;Drogasil;Higienópolis;Farmácias e Drogarias;Produto;205.64;11.28
08/07/2025;Riachuelo;Perdizes;Barbearias/Salões com estética jovem;Produto;850.62;26.8
19/07/2025;Pão de Açúcar;República;Fisioterapia e Terapias Complementares;Produto;300.42;8.69
11/07/2025;Madero;Tatuapé;Restaurantes com comida caseira;Desconto;192.47;94.17
30/07/2025;Açaí no Ponto;Bela Vista;Papelarias, Livrarias e Lojas de Escritório;Cashback;349.58;17.48
28/07/2025;Selfit;Consolação;Academias e Studios Fitness;Desconto;412.68;53.97
03/07/2025;Ráscal;Butantã;Restaurantes e Gastronomia;Cashback;815.48;40.77
12/07/2025;Renner;Campo Limpo;Clínicas Médicas e Laboratórios;Produto;981.26;54.26
07/07/2025;Starbucks;Casa Verde;Bancos e Casas Lotéricas;Desconto;235.61;110.9
17/07/2025;Madero;Santo Amaro;Postos de Combustível e Serviços Automotivos;Produto;867.33;9.9
24/07/2025;Drogasil;Tucuruvi;Farmácias e Drogarias;Cashback;404.62;20.23
06/07/2025;Outback;Pinheiros;Restaurantes e Gastronomia;Desconto;404.92;178.65
03/07/2025;Outback;Casa Verde;Clínicas Médicas e Laboratórios;Produto;771.65;32.48
10/07/2025;Drogasil;Santana;Farmácias e Drogarias;Desconto;864.57;340.21
20/07/2025;Riachuelo;Santana;Lojas de Roupas e Sneakers;Produto;225.39;8.05
27/07/2025;Casas Bahia;Tatuapé;Fisioterapia e Terapias Complementares;Desconto;601.54;239.58
25/07/2025;Churrascaria Boi Preto;Butantã;Restaurantes com comida caseira;Produto;472.33;20.13
26/07/2025;Just Run;Perdizes;Academias e Studios Fitness;Desconto;585.59;115.78
16/07/2025;Carrefour Express;Butantã;Lojas de Móveis e Decoração;Cashback;395.03;19.75
22/07/2025;McDonald's;Bela Vista;Lanchonetes e Fast-Food;Produto;465.83;10.39
23/07/2025;Sesc Paulista;Consolação;Clubes e Centros de Convivência;Cashback;930.74;46.54
01/07/2025;Selfit;Santana;Academias e Studios Fitness;Produto;908.05;49.96
27/07/2025;Just Run;Penha;Academias e Studios Fitness;Cashback;839.75;41.99
05/07/2025;Smart Fit;Consolação;Papelarias, Livrarias e Lojas de Escritório;Desconto;670.33;261.7
09/07/2025;Açaí no Ponto;Santo Amaro;Lanchonetes e Fast-Food;Produto;663.27;18.77
19/07/2025;Habib's;Campo Limpo;Espaços Culturais e de Experiência Interativa;Cashback;544.92;27.25
03/07/2025;Café Cultura;Limão;Cafeterias e Bistrôs Modernos;Cashback;998.85;49.94
17/07/2025;Sesc Carmo;Limão;Cinema e Streaming Experience Stores;Produto;154.02;9
22/07/2025;Drogaria São Paulo;Higienópolis;Bancos e Casas Lotéricas;Produto;560.75;24.71
27/07/2025;Churrascaria Boi Preto;Vila Prudente;Restaurantes e Gastronomia;Cashback;777.55;38.88
26/07/2025;Sabin;Tucuruvi;Barbearias/Salões com estética jovem;Cashback;436.56;21.83
29/07/2025;Renner;Tatuapé;Bancos e Casas Lotéricas;Cashback;271.13;13.56
10/07/2025;Habib's;Tucuruvi;Lanchonetes e Fast-Food;Cashback;904.33;45.22
18/07/2025;Forever 21;Bela Vista;Produtos Naturais e Fitoterápicos;Produto;451.93;10.11
26/07/2025;Pão de Açúcar;Sé;Supermercados e Mercados Express;Cashback;116.84;5.84
27/07/2025;Extra;Penha;Supermercados e Mercados Express;Produto;640.38;27.11
26/07/2025;Smart Fit;Higienópolis;Lojas de Móveis e Decoração;Desconto;533.61;249.4
30/07/2025;Outback;Sé;Supermercados de Bairro e Mercadinhos;Produto;818.84;28.3
05/07/2025;Café Cultura;Perdizes;Espaços Culturais e de Experiência Interativa;Cashback;949.28;47.46
13/07/2025;Subway;República;Igrejas e Lojas de Artigos Religiosos;Produto;190.6;2.42
30/07/2025;Lavoisier;Bela Vista;Calçados Confortáveis e Ortopédicos;Desconto;321.59;123.91
30/07/2025;Ponto;Higienópolis;Bancos e Casas Lotéricas;Desconto;532.96;242.39
31/07/2025;Fleury;Itaquera;Restaurantes com comida caseira;Produto;953.1;35.2
02/07/2025;Sabin;Bela Vista;Clínicas de Saúde e Bem-estar;Cashback;134;6.7
01/07/2025;Selfit;Butantã;Lojas de Eletrodomésticos e Utilidades Domésticas;Desconto;482.27;98.95
30/07/2025;Lavoisier;Perdizes;Clínicas de Saúde e Bem-estar;Desconto;817.99;250.46
08/07/2025;Just Run;Consolação;Academias e Studios Fitness;Cashback;109.82;5.49
01/07/2025;Pão de Açúcar;Penha;Produtos Naturais e Fitoterápicos;Produto;285.21;8.51
29/07/2025;Outback;Consolação;Lojas de Móveis e Decoração;Cashback;587.89;29.39
15/07/2025;Ráscal;Penha;Lojas de Móveis e Decoração;Desconto;699.8;131.04
09/07/2025;Forever 21;Campo Limpo;Lojas de Roupas e Sneakers;Desconto;431.51;140.03
25/07/2025;Riachuelo;Higienópolis;Lojas de Moda Urbana e Alternativa;Produto;684.73;33.57
07/07/2025;Ponto;Perdizes;Postos de Combustível e Serviços Automotivos;Cashback;688.27;34.41
18/07/2025;Drogasil;Santana;Farmácias e Drogarias;Produto;190.31;3.55
05/07/2025;Fleury;Perdizes;Lojas de Moda Urbana e Alternativa;Cashback;552.36;27.62
06/07/2025;Selfit;Butantã;Espaços Culturais e de Experiência Interativa;Cashback;861.66;43.08
26/07/2025;Extra;Bela Vista;Postos de Combustível e Serviços Automotivos;Produto;295.52;8.48
19/07/2025;Drogaria São Paulo;Casa Verde;Lojas de Moda Urbana e Alternativa;Produto;591.88;17.72
28/07/2025;Just Run;Consolação;Barbearias/Salões com estética jovem;Desconto;766.71;100.42
24/07/2025;Ponto;Jabaquara;Lojas de Eletrônicos e Games;Desconto;244.76;119.35
